archivo,carpeta_origen,ciudad_detectada,duracion_s
MEX_001_02_15_EN_01.wav,data/ciudad_de_mexico/enunciativas,mexico,3.88
MEX_001_02_15_EN_02.wav,data/ciudad_de_mexico/enunciativas,mexico,1.74
MEX_001_02_15_EN_03.wav,data/ciudad_de_mexico/enunciativas,mexico,0.07
MEX_001_02_15_EN_04.wav,data/ciudad_de_mexico/enunciativas,mexico,0.07
MEX_001_02_15_EN_05.wav,data/ciudad_de_mexico/enunciativas,mexico,0.07
MEX_002_02_15_EN_01.wav,data/ciudad_de_mexico/enunciativas,mexico,3.85
MEX_002_02_15_EN_02.wav,data/ciudad_de_mexico/enunciativas,mexico,4.82
MEX_002_02_15_EN_03.wav,data/ciudad_de_mexico/enunciativas,mexico,1.92
MEX_002_02_15_EN_04.wav,data/ciudad_de_mexico/enunciativas,mexico,1.32
MEX_002_02_15_EN_05.wav,data/ciudad_de_mexico/enunciativas,mexico,2.52
MEX_002_02_15_EN_06.wav,data/ciudad_de_mexico/enunciativas,mexico,4.61
MEX_002_02_15_EN_07.wav,data/ciudad_de_mexico/enunciativas,mexico,6.13
MEX_002_02_15_EN_08.wav,data/ciudad_de_mexico/enunciativas,mexico,2.5
MEX_003_03_15_EN_01.wav,data/ciudad_de_mexico/enunciativas,mexico,3.51
MEX_003_03_15_EN_02.wav,data/ciudad_de_mexico/enunciativas,mexico,1.42
MEX_003_03_15_EN_03.wav,data/ciudad_de_mexico/enunciativas,mexico,3.31
MEX_003_03_15_EN_04.wav,data/ciudad_de_mexico/enunciativas,mexico,2.0
MEX_003_03_15_EN_05.wav,data/ciudad_de_mexico/enunciativas,mexico,1.89
MEX_005_03_20_EN_01.wav,data/ciudad_de_mexico/enunciativas,mexico,2.1
MEX_005_03_20_EN_02.wav,data/ciudad_de_mexico/enunciativas,mexico,3.02
MEX_005_03_20_EN_03.wav,data/ciudad_de_mexico/enunciativas,mexico,5.6
MEX_005_03_20_EN_04.wav,data/ciudad_de_mexico/enunciativas,mexico,2.31
MEX_005_03_20_EN_05.wav,data/ciudad_de_mexico/enunciativas,mexico,2.42
MEX_009_02_15_EN_01.wav,data/ciudad_de_mexico/enunciativas,mexico,7.01
MEX_009_02_15_EN_02.wav,data/ciudad_de_mexico/enunciativas,mexico,3.1
MEX_009_02_15_EN_03.wav,data/ciudad_de_mexico/enunciativas,mexico,2.13
MEX_009_02_15_EN_04.wav,data/ciudad_de_mexico/enunciativas,mexico,1.82
